               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12984,            0.094022,                   0,           0.0094676,            0.027397,           0.0041808,          0.00061398,            0.087386,            0.065473,                   0,              0.0811,              0.0021,              0.0021
                   1,             0.10684,             0.10101,                   0,            0.067081,            0.068493,            0.019488,            0.003102,            0.080648,            0.099078,                   0,            0.061286,           0.0042858,           0.0042858
                   2,            0.098161,             0.14537,                   0,             0.11846,             0.39726,            0.087763,            0.020611,            0.066256,             0.10985,                   0,            0.041457,           0.0064571,           0.0064571
                   3,            0.083912,              0.1322,                   0,              0.1281,             0.15068,            0.074615,            0.013789,            0.068513,              0.1154,                   0,            0.021614,           0.0086139,           0.0086139
                   4,            0.095022,             0.14669,                   0,            0.085367,             0.43836,             0.11296,            0.023257,            0.063706,             0.31579,                   0,            0.009868,            0.009868,            0.009868
                   5,            0.084873,             0.14275,                   0,            0.021347,            0.082192,            0.011534,           0.0024304,            0.089098,             0.11969,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.079313,             0.12893,                   0,             0.10074,             0.58904,            0.093191,             0.02157,            0.062031,              0.7091,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.073803,             0.12461,                   0,             0.25374,             0.57534,             0.26171,            0.064606,            0.057854,             0.27433,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.07118,             0.12873,                   0,             0.22638,             0.10959,            0.054146,           0.0094083,            0.072688,             0.25225,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.072191,             0.12724,                   0,                   0,                   0,                   0,                   0,            0.092854,             0.10955,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.06382,             0.12929,                   0,             0.55009,             0.16438,             0.21276,            0.062349,              0.0713,              0.1733,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.065633,             0.12829,                   0,             0.51321,             0.37555,             0.39129,             0.11999,            0.047333,             0.12467,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.058474,             0.13115,                   0,             0.66389,             0.65753,             0.67887,             0.22452,            0.041919,              0.1021,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.06151,              0.1306,                   0,             0.65424,             0.68493,             0.62047,             0.22483,            0.040923,             0.10402,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.058272,             0.12618,                   0,             0.71481,             0.71233,             0.77519,             0.22517,            0.040121,            0.096518,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.060055,             0.12797,                   0,              0.8392,             0.71495,             0.82165,             0.29339,            0.037928,            0.094366,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.063175,             0.12482,                   0,             0.71466,             0.72603,             0.72316,             0.26138,            0.039176,            0.098646,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.063635,             0.12823,                   0,             0.59689,             0.75342,             0.67284,             0.21856,            0.039785,            0.094649,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.061563,             0.12292,                   0,             0.58231,             0.64384,             0.56906,             0.16302,            0.043576,            0.096484,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.053551,             0.12759,                   0,             0.75765,              0.7709,              0.8133,             0.26134,            0.038664,             0.09372,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.051622,              0.1214,                   0,             0.80808,             0.86301,               0.873,             0.30922,             0.03736,            0.091747,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.057768,             0.12621,                   0,             0.74448,             0.67123,             0.74091,             0.23333,            0.040516,             0.10805,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.057918,              0.1259,                   0,             0.74136,             0.78082,             0.77134,             0.25648,            0.038895,            0.093654,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.054966,             0.12326,                   0,             0.76815,             0.80822,             0.79665,             0.29886,            0.038215,              0.0933,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.055968,             0.12468,                   0,             0.79536,             0.84932,             0.85615,             0.26279,            0.038188,            0.095117,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.053246,             0.12035,                   0,              0.8125,             0.80822,             0.86613,             0.29458,            0.037278,            0.093654,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.053373,             0.12589,                   0,             0.85035,             0.77841,             0.85158,             0.33011,            0.035982,            0.090796,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.053291,             0.12618,                   0,             0.53709,             0.49272,             0.46939,             0.13793,            0.052217,             0.10919,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.057043,             0.12333,                   0,              0.7432,             0.76712,             0.79049,             0.30162,            0.037403,            0.093184,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.053013,             0.12494,                   0,            0.022838,            0.082192,           0.0085779,           0.0029248,            0.074196,             0.16065,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.051492,             0.12552,                   0,              0.8562,             0.84932,             0.89266,              0.3304,            0.036782,            0.091227,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.056273,             0.12605,                   0,             0.89449,             0.78082,             0.85463,             0.29662,            0.038051,            0.094434,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.050158,             0.11852,                   0,             0.77625,             0.85549,             0.83912,             0.31882,            0.037702,            0.093806,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.050952,             0.12447,                   0,             0.76259,             0.84932,             0.86186,             0.31202,            0.036761,            0.091082,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.05546,             0.11957,                   0,             0.79529,             0.86301,             0.87717,             0.32609,            0.035714,            0.089323,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.052566,             0.12594,                   0,             0.91296,             0.83562,             0.92307,             0.36721,            0.034542,            0.091082,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.050439,             0.12143,                   0,             0.75838,             0.80822,             0.81982,             0.24448,            0.039054,            0.088932,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.054317,             0.12337,                   0,             0.78433,             0.84932,             0.84572,              0.3301,            0.035534,            0.089683,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.054859,             0.12003,                   0,             0.74414,             0.84932,             0.82191,             0.28561,             0.03671,             0.08948,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.056869,             0.12153,                   0,             0.85394,             0.90411,             0.89403,             0.34551,            0.034129,            0.087913,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.048695,             0.12628,                   0,             0.87141,             0.93151,              0.9266,             0.35776,            0.033616,            0.087861,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.052874,             0.12262,                   0,             0.78039,             0.80822,             0.80717,             0.25271,            0.038936,            0.094559,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.047787,             0.11937,                   0,              0.8389,             0.87671,             0.89065,             0.29941,            0.036363,            0.090812,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.050342,             0.11927,                   0,              0.8415,             0.89041,              0.8536,             0.30753,            0.035235,            0.088876,                   0,            0.008614,            0.008614,            0.008614
                  44,             0.05152,             0.12439,                   0,             0.88551,             0.84763,             0.90388,             0.34363,            0.035665,            0.089568,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.051154,              0.1206,                   0,             0.86886,             0.80822,             0.91256,             0.32915,            0.036032,             0.09013,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.049302,             0.12271,                   0,             0.85415,             0.87671,             0.90665,             0.35385,            0.034212,            0.088154,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.051249,             0.12159,                   0,              0.8733,             0.84979,             0.92233,             0.35347,            0.033711,            0.086895,                   0,            0.008482,            0.008482,            0.008482
                  48,              0.0508,             0.12477,                   0,             0.86636,             0.93151,             0.93107,             0.36787,            0.033216,            0.086726,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.050155,             0.11739,                   0,             0.85853,             0.89041,             0.90419,             0.30871,            0.035369,            0.087974,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.050866,             0.11897,                   0,             0.84148,             0.87265,             0.88266,             0.32276,            0.035155,            0.087051,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.048677,             0.12003,                   0,             0.91751,             0.83562,             0.92532,             0.35759,            0.034124,             0.08918,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.049686,             0.12002,                   0,             0.95625,              0.8982,             0.95508,             0.36958,            0.033595,            0.087985,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.052311,             0.12254,                   0,             0.86062,             0.82192,             0.89907,             0.37531,            0.033464,            0.085833,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.053861,             0.11747,                   0,             0.86669,             0.89058,             0.95263,             0.39077,            0.033731,             0.08653,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.048897,             0.11781,                   0,             0.90895,             0.84932,             0.90805,             0.35116,            0.034386,            0.088367,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.050863,             0.11849,                   0,             0.90122,             0.80822,             0.90091,             0.33656,            0.035022,            0.089212,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.04894,             0.12018,                   0,             0.88241,             0.82236,             0.84187,              0.3129,            0.035471,            0.093353,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.049447,             0.11998,                   0,             0.77394,             0.79452,             0.81483,              0.2694,             0.03785,            0.093036,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.050301,             0.11797,                   0,             0.86247,             0.89041,             0.92066,             0.36741,            0.034721,            0.090438,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.050641,             0.11965,                   0,             0.86076,             0.84686,             0.90675,             0.35195,            0.035019,            0.089456,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.047851,             0.12105,                   0,             0.85857,             0.87671,             0.93445,             0.35279,            0.033284,            0.085627,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.049224,             0.12004,                   0,             0.85743,             0.90411,             0.94528,             0.31661,            0.034951,            0.088734,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.047654,             0.12219,                   0,             0.89448,             0.92902,             0.94185,             0.37129,            0.033648,            0.086562,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.048005,             0.11803,                   0,             0.89343,             0.91873,             0.93366,             0.33713,            0.035057,             0.08949,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.051957,             0.12068,                   0,             0.82469,             0.87671,             0.82432,             0.30469,             0.03524,            0.090732,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.047479,               0.119,                   0,             0.87697,             0.93151,             0.92933,             0.36393,            0.033673,            0.089211,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.047344,              0.1182,                   0,             0.86628,             0.88747,             0.90352,             0.33789,            0.034719,            0.089917,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.04891,             0.11886,                   0,             0.90328,             0.83562,              0.9114,             0.35718,            0.034019,            0.089599,                   0,            0.007789,            0.007789,            0.007789
